ref;ano;artigo
15;2015;"CARDOSO, C. A. A.; LOURENÇO-DE-OLIVEIRA, R.; CODEÇO, C. T.; MOTTA, M. A. Mosquitoes in bromeliads at ground level of the brazilian Atlantic Forest: The relationship between mosquito fauna, water volume, and plant type. Annals of the Entomological Society of America, v. 108, n. 4, p. 449–458, 2015."
16;2016;"ALENCAR, J.; DE MELLO, C. F.; SERRA-FREIRE, N. M.; GUIMARÃES, A. É.; GIL-SANTANA, H. R.; GLEISER, R. M. Biodiversity and temporal distribution of immature culicidae in the Atlantic Forest, Rio de Janeiro State. PLoS ONE, v. 11, n. 7, p. 1–15, 2016."
17;2007;"de Barros, F. S. M., Arruda, M. E., Vasconcelos, S. D., Luitgards-Moura, J. F., Confalonieri, U., Rosa-Freitas, M. G., Tsouris, P., Lima-Camara, T. N., & Honório, N. A. (2007). Parity and age composition for Anopheles darlingi Root (Diptera: Culicidae) and Anopheles albitarsis Lynch-Arribálzaga (Diptera: Culicidae) of the northern Amazon Basin, Brazil. Journal of Vector Ecology, 32(1), 54–68. https://doi.org/10.3376/1081-1710(2007)32[54:paacfa]2.0.co;2"
18;2020;"OLIVEIRA-CHRISTE, R.; MEDEIROS-SOUSA, A. R.; FERNANDES, A.; CERETTI-JÚNIOR, W.; MARRELLI, M. T. Distribution of Culex (Microculex) (Diptera: Culicidae) in forest cover gradients. Acta Tropica, v. 202, n. October 2019, p. 105264, 2020. Disponível em: <https://doi.org/10.1016/j.actatropica.2019.105264>."
19;2019;Bendas, A. J. R., Branco, A. S., da Silva, B. R. S. A., Paiva, J. P., de Miranda, M. G. N., Mendes-de-Almeida, F., & Labarthe, N. V. (2019). Mosquito abundance in a Dirofilaria immitis hotspot in the eastern state of Rio de Janeiro, Brazil. Veterinary Parasitology: Regional Studies and Reports, 18(July), 100320. https://doi.org/10.1016/j.vprsr.2019.100320
20;2008;Müller, G. A., Kuwabara, E. F., Duque, J. E., Navarro-Silva, M. A., & Marcondes, C. B. (2008). New records of mosquito species (Diptera: Culicidae) for Santa Catarina and Paraná (Brazil). Biota Neotropica, 8(4), 211–218. https://doi.org/10.1590/s1676-06032008000400021
21;2014;Müller, G. A., Marchi, M. J., & Marcondes, C. B. (2014). Mosquito immatures in bamboo internodes in Santa Catarina State, South Brazil (Diptera: Culicidae). Biotemas, 27(1), 151–154.
22;2019;Heinisch, M. R. S., Diaz-Quijano, F. A., Chiaravalloti-Neto, F., Menezes Pancetti, F. G., Rocha Coelho, R., dos Santos Andrade, P., Urbinatti, P. R., de Almeida, R. M. M. S., & Lima-Camara, T. N. (2019). Seasonal and spatial distribution of Aedes aegypti and Aedes albopictus in a municipal urban park in São Paulo, SP, Brazil. Acta Tropica, 189(June 2018), 104–113. https://doi.org/10.1016/j.actatropica.2018.09.011
23;2009;Medeiros, A. S., Marcondes, C. B., De Azevedo, P. R. M., Jerônimo, S. M. R., Silva, V. P. M. E. E., & De De Ximenes, M. F. F. M. (2009). Seasonal variation of potential flavivirus vectors in an urban biological reserve in Northeastern Brazil. Journal of Medical Entomology, 46(6), 1450–1457. https://doi.org/10.1603/033.046.0630
24;2006;Serpa, L. L. N., Costa, K. V. R. M., Voltolini, J. C., & Kakitani, I. (2006). Variação sazonal de Aedes aegypti e Aedes albopictus no município de Potim , São Paulo. Revista de Saúde Pública, 01–05.
25;2010;Albeny, D. S., Rosa, C. S., Ataíde, L. M. S., & Vilela, E. F. (2010). Primeiro registro do gênero Toxorhynchites Theobald (Diptera, Culicidae) em Mata Atlântica, Viçosa, Minas Gerais. Revista Ceres, 57(2), 181–184. https://doi.org/10.1590/s0034-737x2010000200007
26;2007;Urbinatti, P. R., de Menezes, R. M. T., & Natal, D. (2007). Sazonalidade de Aedes albopictus em área protegida na cidade de São Paulo, Brasil. Revista de Saude Publica, 41(3), 478–481. https://doi.org/10.1590/s0034-89102006005000027
27;2008;Zeidler, J. D., Acosta, P. O. A., Barrêto, P. P., & Cordeiro, J. da S. (2008). Dengue virus in Aedes aegypti larvae and infestation dynamics in Roraima, Brazil. Revista de Saude Publica, 42(6), 986–991. https://doi.org/10.1590/s0034-89102008005000055
28;2006;Müller, G. A., & Marcondes, C. B. (2006). Bromeliad-associated mosquitoes from Atlantic forest in Santa Catarina Island, southern Brazil (Diptera, Culicidae), with new records for the State of Santa Catarina. Iheringia - Serie Zoologia, 96(3), 315–319. https://doi.org/10.1590/S0073-47212006000300007
29;2004;Tissot, A. C., & Navarro-Silva, M. A. (2004). Preferência por hospedeiro e estratificação de Culicidae (Diptera) em área de remanescente florestal do Parque Regional do Iguaçu, Curitiba, Paraná, Brasil. Revista Brasileira de Zoologia, 21(4), 877–886. https://doi.org/10.1590/s0101-81752004000400023
30;2008;Balestra, R. A. M., Pereira, R. K. D. O., Ribeiro, M. J. D. S., Silva, J. D. S., & Alencar, J. (2008). Ocorrência de Aedes (Stegomyia) albopictus (Skuse) em área urbana do Estado do Tocantins. Neotropical Entomology, 37(2), 233–235. https://doi.org/10.1590/S1519-566X2008000200020
31;2018;Medeiros, A. S., Costa, D. M. P., Branco, M. S. D., Sousa, D. M. C., Monteiro, J. D., Galväo, S. P. M., Azevedo, P. R. M., Fernandes, J. V., Jeronimo, S. M. B., & Araújo, J. M. G. (2018). Dengue virus in Aedes aegypti and Aedes albopictus in urban areas in the state of Rio Grande do Norte, Brazil: Importance of virological and entomological surveillance. PLoS ONE, 13(3), 1–11. https://doi.org/10.1371/journal.pone.0194108
32;2009;Bonat, W. H., Jr, P. J. R., Dallazuanna, H. S., Regis, L. N., Monteio, A. M. V., Silvera, J. C., Acioli, R. V., & Souza, W. V. de. (2009). Investigando fatores associados a contagem de ovos de Aedes aegypti coletados em ovitrampas em Recife/PE. Revista Brasileira de Biometria, 27(4), 519–537.
33;2008;"MARQUES, G. R. A. M.; FORATTINI, O. P. Culicídeos em bromélias: Diversidade de fauna segundo influência antrópica, litoral de São Paulo. Revista de saúde pública, v. 42, n. 6, p. 979–85, 2008. Disponível em: <http://www.ncbi.nlm.nih.gov/pubmed/19009155>."
34;2020;de Melo Ximenes, M. de F. F., de Araújo Galvão, J. M., Inacio, C. L. S., Macêdo e Silva, V. P., Pereira, R. L. do N., Pinheiro, M. P. G., de Medeiros Siva, M. M., & Gomes, C. E. S. (2020). Arbovirus expansion: New species of culicids infected by the Chikungunya virus in an urban park of Brazil. Acta Tropica, 209(May), 105538. https://doi.org/10.1016/j.actatropica.2020.105538
35;1998;dos Santos, S. O., & do Nascimento, J. C. (1998). Primeiro registro da presença do Aedes (Stegomyia) albopictus (Skuse) em Mato Grosso do Sul, Brazil. Revista de Saúde Pública, 32(5), 486. https://doi.org/10.1590/S0034-89101998000500013
36;2008;Gomes, E. C. D. S., De Albuquerque, C. M. R., De Souza, J. R. B., Arruda, M. E., & Confalonieri, U. E. C. (2008). Structure of Anopheles (Diptera: Culicidae) population in areas with different degrees of human settlement: Cantá - Roraima - Brazil. Acta Amazonica, 38(2), 321–328. https://doi.org/10.1590/S0044-59672008000200016
37;2021;Silva, A. M. da, Araújo, R. de, & Souza Filho, E. C. de. (2021). The occurrence of immature forms of Aedes (Stegomyia) aegypti (Diptera, Culicidae) in Bromeliaceae during an outbreak of dengue in the Paraná Coast, Southern Brazil. Acta Biológica Paranaense, 50(1–4), 1–6.
38;1997;"NATAL, D.; URBINATTI, P. R.; TAIPE-LAGOS, C. B.; CERETI-JÚNIOR, W.; DIEDERICHSEN, A. T. B.; SOUZA, R. G.; SOUZA, R. P. Encontro de Aedes (Stegomyia) albopictus (Skuse) em Bromeliaceae na periferia de São Paulo, SP, Brasil. Revista de Saude Publica, v. 31, n. 5, p. 517–518, 1997."
39;2005;"VAREJÃO, J. B. M.; SANTOS, C. B. Dos; REZENDE, H. R.; BEVILACQUA, L. C. C.; FALQUETO, A. Aedes (Stegomyia) aegypti (Linnaeus, 1762) breeding sites in native bromeliads in Vitória City, ES. Revista da Sociedade Brasileira de Medicina Tropical, v. 38, n. 3, p. 238–240, 2005."
40;2021;Bastos, A. Q., Leite, P. J., dos Santos-Mallet, J. R., de Mello, C. F., Serdeiro, M., dos Silva, J. S., Figueiró, R., Docile, T., & Alencar, J. (2021). Spawning behavior of Aedini (Diptera: Culicidae) in a remnant of Atlantic Forest in the state of Rio de Janeiro. Parasites and Vectors, 14(1), 1–9. https://doi.org/10.1186/s13071-021-05102-9
41;2001;"MARQUES, G. R.; SANTOS, R. L.; FORATTINI, O. P. Aedes albopictus in bromeliads of anthropic environment in São Paulo State, Brazil. Revista de saúde pública, v. 35, n. 3, p. 243–248, 2001."
42;2020;Ceretti-junior W, Oliveira-christe R, Wilk-da-silva R, Filipe L, Maria A, Castro R De, Fernandes A, Barrio-nuevo KM. 2020. Diversity analysis and an updated list of mosquitoes ( Diptera?: Culicidae ) found in Cantareira State Park , São Paulo , Brazil. Acta Trop [Internet]. 212(August):105669. https://doi.org/10.1016/j.actatropica.2020.105669
43;2021;Hendy, A., Valério, D., Fé, N. F., Hernandez-Acosta, E., Mendonça, C., Andrade, E., Pedrosa, I., Costa, E. R., Júnior, J. T. A., Assunção, F. P., Chaves, B. A., Scarpassa, V. M., Gordo, M., Buenemann, M., de Lacerda, M. V. G., Hanley, K. A., & Vasilakis, N. (2021). Microclimate and the vertical stratification of potential bridge vectors of mosquito?borne viruses captured by nets and ovitraps in a central Amazonian forest bordering Manaus, Brazil. Scientific Reports, 11(1), 1–13. https://doi.org/10.1038/s41598-021-00514-0
44;2021;Stahlhöfer, B. D., Borsekowsky, A. R., & Müller, G. A. (2021). Mosquitoes (Diptera: Culicidae) in oviposition traps set in forest fragments of a semideciduous seasonal forest, Atlantic Forest domain, in the state of Rio Grande do Sul, Brazil. Revista Chilena De Entomología, 47(2), 375–383. https://doi.org/10.35249/rche.47.2.21.20
45;2021;Bastos, A. Q., Leite, P. J., de Mello, C. F., Maia, D. A., Machado, S. L., Gil-Santana, H. R., Freitas Silva, S. O., dos Santos-Mallet, J. R., & Alencar, J. (2021). Bionomy of Mosquitoes in Bamboo Internodes in an Atlantic Forest Remnant of the State of Rio De Janeiro, Brazil. Journal of the American Mosquito Control Association, 37(4), 208–215. https://doi.org/10.2987/21-7044
46;2015;Barros, F. S. M., & Honório, N. A. (2015). Deforestation and malaria on the amazon frontier: Larval clustering of anopheles darlingi (Diptera: Culicidae) determines focal distribution of malaria. American Journal of Tropical Medicine and Hygiene, 93(5), 939–953. https://doi.org/10.4269/ajtmh.15-0042
47;2010;Barros, F. S. M., Honório, N. A., & Arruda, M. E. (2010). Mosquito anthropophily: Implications on malaria transmission in the Northern Brazilian Amazon. Neotropical Entomology, 39(6), 1039–1043. https://doi.org/10.1590/S1519-566X2010000600029
48;2019;Da Silva, A. M., Dos Santos, D. R., Cristóvão, E. C., Ferreira, A. C., Postai, C., Westphal-Ferreira, B., & Da Silva, M. A. N. (2019). First records of the occurrence of twelve species of Sabethini (Diptera, Culicidae) in the state of Paraná, southern Brazil. Check List, 15(1), 193–201. https://doi.org/10.15560/15.1.193
49;2021;Andrade, D. C., & La Corte, R. (2021). Toxorhynchites (Lynchiella) caatingensis sp. nov. (Diptera: Culicidae) from the semi-arid region of Brazil. Zootaxa, 5072(2), 130–144. https://doi.org/10.11646/zootaxa.5072.2.2
50;2010;Alencar, J., Gil-Santana, H. R., Oliveira, R. D. F. N. De, Dgallier, N., & Guimares, A. R. (2010). Natural breeding sites for haemagogus mosquitoes (Diptera, Culicidae) in Brazil. Entomological News, 121(4), 393–396. https://doi.org/10.3157/021.121.0414
51;2009;Motoki, M. T., Wilkerson, R. C., & Sallum, M. A. M. (2009). The Anopheles albitarsis complex with the recognition of Anopheles oryzalimnetes Wilkerson and Motoki, n. sp. and Anopheles janconnae Wilkerson and Sallum, n. sp. (Diptera: Culicidae). Memorias Do Instituto Oswaldo Cruz, 104(6), 823–850. https://doi.org/10.1590/S0074-02762009000600004
52;2017;Piovezan, R., Acorinthe, J. P. O., Souza, J. H. T. de, Visockas, A., Azevedo, T. S. de, & Zuben, C. J. Von. (2017). Spatial distribution of Culicidae (Diptera) larvae, and its implications for Public Health, in five areas of the Atlantic Forest biome, State of São Paulo, Brazil. Revista Brasileira de Entomologia, 61(2), 123–135. https://doi.org/10.1016/j.rbe.2016.12.007
53;2019;Medeiros-Sousa, A. R., De Oliveira Christe, R., De Castro Duarte, A. M. R., Mucci, L. F., Ceretti-Junior, W., & Marrelli, M. T. (2019). Effects of anthropogenic landscape changes on the abundance and acrodendrophily of Anopheles (Kerteszia) cruzii, the main vector of malaria parasites in the Atlantic Forest in Brazil. Malaria Journal, 18(1), 1–12. https://doi.org/10.1186/s12936-019-2744-8
54;2014;Guedes, M. L. P., & Navarro-Silva, M. A. (2014). Mosquito community composition in dynamic landscapes from the Atlantic Forest biome (Diptera, Culicidae). Revista Brasileira de Entomologia, 58(1), 88–94. https://doi.org/10.1590/S0085-56262014000100014
55;2015;Medeiros-Sousa, A. R., Ceretti-Júnior, W., de Carvalho, G. C., Nardi, M. S., Araujo, A. B., Vendrami, D. P., & Marrelli, M. T. (2015). Diversity and abundance of mosquitoes (Diptera: Culicidae) in an urban park: Larval habitats and temporal variation. Acta Tropica, 150, 200–209. https://doi.org/10.1016/j.actatropica.2015.08.002
56;2019;Santos, E. B., Favretto, M. A., & Navarro-Silva, M. A. (2019). Community structure of mosquitoes (Diptera: Culicidae) in the coast of Southern Brazil. Austral Entomology, 58(4), 826–835. https://doi.org/10.1111/aen.12412
57;2008;Anjos, A. F. dos, & Navarro-Silva, M. A. (2008). Culicidae (Insecta: Diptera) em área de Floresta Atlântica, no Estado do Paraná, Brasil. Acta Scientiarum. Biological Sciences, 30(1), 23–27. https://doi.org/10.4025/actascibiolsci.v30i1.1411
58;2020;Alencar, J., de Mello, C. F., Rodríguez-Planes, L., dos Santos Silva, J., Gil-Santana, H. R., Bastos, A. Q., … Guimarães, A. É. (2020). Ecosystem diversity of mosquitoes (Diptera: Culicidae) in a remnant of Atlantic Forest, Rio de Janeiro state, Brazil. Austral Entomology. https://doi.org/10.1111/aen.12508
59;2017;Breviglieri, E., & Lorenz, C. (2017). Biodiversity of culicidae in a fragment of Atlantic forest, Sao Paulo State, Brazil. International Journal of Mosquito Research, 4(2), 125–127.
60;2002;Silva, A. M. da. (2002). Imaturos de mosquito (Diptera, Culicidae) de áreas urbana e rural no norte do Estado do Paraná, Brasil. Iheringia. Série Zoologia, 92(4), 31–36. https://doi.org/10.1590/S0073-47212002000400005
61;2000;Guimarães, A. É., Gentile, C., Lopes, C. M., Sant’Anna, A., & Jovita, A. M. (2000). Ecologia de mosquitos (Diptera: Culicidae) em áreas do Parque Nacional da Serra da Bocaina, Brasil.I - Distribuição por habitat. Revista de Saúde Pública, 34(3), 243–250. https://doi.org/10.1590/s0034-89102000000300006
62;2016;Rufalco-Moutinho, P., Schweigmann, N., Bergamaschi, D. P., & Mureb Sallum, M. A. (2016). Larval habitats of Anopheles species in a rural settlement on the malaria frontier of southwest Amazon, Brazil. Acta Tropica, 164, 243–258. https://doi.org/10.1016/j.actatropica.2016.08.032
63;1996;Flores-Mendoza, C., & Lourenço-De-Oliveira, R. (1996). Bionomics of Anopheles aquasalis Curry 1932, in Guaraí, State of Rio de Janeiro, Southeastern Brazil-I. Seasonal Distribution and Parity Rates. Memorias Do Instituto Oswaldo Cruz, 91(3), 265–270. https://doi.org/10.1590/S0074-02761996000300001
64;2007;Natal, D., Urbinatti, P. R., Malafronte, R. D. S., Rezende, H. R., Cerutti, C., & Sallum, M. A. M. (2007). First record of Anopheles (Anopheles) costai Fonseca & Ramos, 1939 in Espírito Santo State, Brazil. Revista Do Instituto de Medicina Tropical de Sao Paulo, 49(5), 323–326. https://doi.org/10.1590/S0036-46652007000500009
65;2008;Gomes, A. D. C., De Paula, M. B., Duarte, A. M. R. D. C., Lima, M. A., Malafronte, R. D. S., Mucci, L. F., … Natal, D. (2008). Epidemiological and ecological aspects related to malaria in the area of influence of the lake at Porto Primavera dam, in western São Paulo State, Brazil. Revista Do Instituto de Medicina Tropical de Sao Paulo, 50(5), 287–295. https://doi.org/10.1590/S0036-46652008000500008
66;2007;Gomes, A. de C., Natal, D., Paula, M. B. de, Urbinatti, P. R., Mucci, L. F., & Bitencourt, M. D. (2007). Riqueza e abundância de Culicidae (Diptera) em área impactada, Mato Grosso do Sul, Brasil. Revista de Saúde Pública, 41(4), 661–664. https://doi.org/10.1590/s0034-89102007000400023
67;2011;Moutinho, P. R., Gil, L. H. S., Cruz, R. B., & Ribolla, P. E. M. (2011). Population dynamics, structure and behavior of Anopheles darlingi in a rural settlement in the Amazon rainforest of Acre, Brazil. Malaria Journal, 10(1), 174. https://doi.org/10.1186/1475-2875-10-174
68;2000;Forattini, O. P., Kakitani, I., Santos, R. L. C. dos, Kobayashi, K. M., Ueno, H. M., & Fernandez, Z. (2000). Comportamento de Aedes albopictus e de Ae. scapularis adultos (Diptera: Culicidae) no Sudeste do Brasil. Revista de Saúde Pública, 34(5), 461–467. https://doi.org/10.1590/s0034-89102000000500005
69;2016;Alencar, J., de Mello, C. F., Barbosa, L. S., Gil-Santana, H. R., Maia, D. de A., Marcondes, C. B., & Silva, J. D. S. (2016). Diversity of yellow fever mosquito vectors in the Atlantic forest of Rio de Janeiro, Brazil. Revista Da Sociedade Brasileira de Medicina Tropical, 49(3), 351–356. https://doi.org/10.1590/0037-8682-0438-2015
70;2011;Barros, F. S. M., Arruda, M. E., Gurgel, H. C., & Honório, N. A. (2011). Spatial clustering and longitudinal variation of Anopheles darlingi (Diptera: Culicidae) larvae in a river of the Amazon: The importance of the forest fringe and of obstructions to flow in frontier malaria. Bulletin of Entomological Research, 101(6), 643–658. https://doi.org/10.1017/S0007485311000265
71;2010;Gomes, A. de C., Torres, M. A. N., Paula, M. B. de, Fernandes, A., Marassá, A. M., Consales, C. A., & Fonseca, D. F. (2010). Ecologia de Haemagogus e Sabethes (Diptera: Culicidae) em áreas epizoóticas do vírus da febre amarela, Rio Grande do Sul, Brasil. Epidemiologia e Serviços de Saúde, 19(2), 101–113. https://doi.org/10.5123/s1679-49742010000200003
72;2013;Lira-Vieira, A. R., Gurgel-Gonçalves, R., Moreira, I. M., Yoshizawa, M. A. C., Coutinho, M. L., Prado, P. S., … de Castro, C. N. (2013). Ecological aspects of mosquitoes (Diptera: Culicidae) in the gallery forest of Brasília National Park, Brazil, with an emphasis on potential vectors of yellow fever. Revista Da Sociedade Brasileira de Medicina Tropical, 46(5), 566–574. https://doi.org/10.1590/0037-8682-0136-2013
73;2016;Mucci, L. F., A. R. Medeiros-Sousa, W. Ceretti-Júnior, A. Fernandes, A. A. Camargo, E. Evangelista, R. de O. Christe, J. Montes, R. S. Teixeira, and M. T. Marelli. 2016. Haemagogus leucocelaenus and other mosquitoes potentially associated with sylvatic yellow fever in Cantareira State Park in the São Paulo metropolitan area, Brasil. Journal of the American Mosquito Control Association 32:329–332.
74;1999;Silva, M. A. N. da, & Lozovei, A. L. (1999). Ocorrência de Haemagogus (Conopostegus) leucocelaenus (Dyar & Shannon) e Toxorhynchites (Lynchiella) theobaldi (Dyar & Knab) em ocos de árvore em capão de mata, Curitiba, Paraná, Brasil. Revista Brasileira de Zoologia, 16(suppl 1), 257–267. https://doi.org/10.1590/s0101-81751999000500018
75;2002;Löwenberg-Neto, P., & Navarro-Silva, M. A. (2002). Primeiro registro de Aedes albopictus no Estado de Santa Catarina, Brasil. Revista de Saúde Pública, 36(2), 246–247. https://doi.org/10.1590/s0034-89102002000200019
76;2004;Paterno, U., & Marcondes, C. B. (2004). Mosquitos antropofílicos de atividade matutina em Mata Atlântica, Florianópolis, SC. Revista de Saúde Pública, 38(1), 133–135. https://doi.org/10.1590/s0034-89102004000100019
77;2008;Sallum, M. A. M., Urbinatti, P. R., Malafronte, R. D. S., Rezende, H. R., Cerutti, C., & Natal, D. (2008). Primeiro registro de Anopheles (Kerteszia) homunculus Komp (Diptera, Culicidae) no Estado do Espírito Santo, Brasil. Revista Brasileira de Entomologia, 52(4), 671–673. https://doi.org/10.1590/S0085-56262008000400021
78;2009;Sallum, M. A. M., Dos Santos, C. L. S., & Wilkerson, R. C. (2009). Studies on Anopheles (Kerteszia) homunculus Komp (Diptera: Culicidae). Zootaxa, 18(2299), 1–18. https://doi.org/10.11646/zootaxa.2299.1.1
79;1993;Forattini, O. P., Kakitani, I., Massad, E., & Gomes, A. C. (1993). Studies on mosquitoes (Diptera: Culicidae) and anthropic environment. 1--Parity of blood seeking Anopheles (Kerteszia) in south-eastern Brazil. Revista de Saúde Pública, 27(1), 1–8. https://doi.org/10.1590/S0034-89101993000100001
80;2008;Alencar, J., Castro, F. C., Monteiro, H. A. O., Silva, O. V., Dégallier, N., Marcondes, C. B., & Guimarães, A. E. (2008). New records of Haemagogus (Haemagogus) from Northern and Northeastern Brazil (Diptera: Culicidae, Aedini). Zootaxa, 68(1779), 65–68. https://doi.org/10.11646/zootaxa.1779.1.6
81;1993;Forattini, O. P., Kakitani, I., Massad, E., & Marucci, D. (1993). Studies on mosquitoes (Diptera: Culicidae) and anthropic environment. 2. Immature stages research at a rice irrigation system location in south-eastern Brazil. Revista de Saúde Pública, 27(4), 227–236. https://doi.org/10.1590/S0034-89101993000400001
82;1993;Forattini, O. P., Kakitani, I., Massad, E., & Marucci, D. (1993). Studies on mosquitoes (Diptera: Culicidae) and anthropic environment. 3--Survey of adult stages at the rice irrigation system and the emergence of Anopheles albitarsis in south-eastern, Brazil. Revista de Saúde Pública, 27(5), 313–325. https://doi.org/10.1590/S0034-89101993000500001
83;1993;Branquinho, M. S., Lagos, C. B. T., Rocha, R. M., Natal, D., Barata, J. S., Cochrane, A. H., … Kloetzel, J. K. (1993). Anophelines in the state of acre, brazil, infected with plasmodium falciparum, p. vivax, the variant p. vivax vk247 and p. malariae. Transactions of the Royal Society of Tropical Medicine and Hygiene, 87(4), 391–394. https://doi.org/10.1016/0035-9203(93)90008-E
84;2001;Póvoa, M. M., Wirtz, R. A., Lacerda, R. N. L., Miles, M. A., & Warhurst, D. (2001). Malaria Vectors in the Municipality of Serra do Navio, State of Amapá, Amazon Region, Brazil. Memorias Do Instituto Oswaldo Cruz, 96(2), 179–184. https://doi.org/10.1590/S0074-02762001000200008
85;2006;Póvoa, M. M., De Souza, R. T. L., Lacerda, R. N. D. L., Rosa, E. S., Galiza, D., De Souza, J. R., … Econn, J. (2006). The importance of Anopheles albitarsis e and An. darlingi in human malaria transmission in Boa Vista, state of Roraima, Brazil. Memorias Do Instituto Oswaldo Cruz, 101(2), 163–168. https://doi.org/10.1590/S0074-02762006000200008
86;2016;Chaves, L. S. M., I. L. Rodrigues de Sá, D. P. Bergamaschi, and M. A. M. Sallum. 2016. Kerteszia Theobald (Diptera: Culicidae) mosquitoes and bromeliads: A landscape ecology approach regarding two species in the Atlantic rainforest. Acta Tropica 164:303–313.
